"name","abv","ibu","style"
"Heal the Bay IPA",6.8,65,"IPA"
"Point the Way IPA",5.9,60,"IPA"
"Burning Bush Smoked IPA",8,70,"IPA"
"Wolf Among Weeds IPA (2012)",8,70,"IPA"
"Point the Way IPA (2012)",5.9,60,"IPA"
"Golden Road Hefeweizen (2012)",4.6,15,"Lager"
"Vanilla Porter",7,11,"Other"
"Descender IPA",7,70,"IPA"
"Snake Handler Double IPA",9.3,103,"DIPA"
"Coffee Oatmeal Stout",6,54,"Other"
"Good People IPA",6,64,"IPA"
"Goose Island India Pale Ale",5.9,55,"IPA"
"Beaver Logger",5.2,19,"Other"
"Bourbon Barrel Aged Coconut Porter",5.6,33,"Other"
"Great Crescent IPA",6.2,60,"IPA"
"Aurora Lager",5.7,27,"Lager"
"Great Crescent Coconut Porter",5.6,33,"Other"
"Great Crescent Oktoberfest Lager",5.7,25,"Lager"
"Aurora Lager (2011)",5.7,27,"Lager"
"Great Crescent Belgian Style Wit",5.1,13,"Lager"
"Bourbon's Barrel Stout",7.5,65,"Other"
"Great Crescent Stout",8,66,"Other"
"Great Crescent Coconut Porter (2012)",5.6,33,"Other"
"Great Crescent Dark Lager",5.7,23,"Lager"
"Great Crescent IPA (2011)",6.2,60,"IPA"
"Yeti  Imperial Stout",9.5,75,"Other"
"Black Star Double Hopped Golden Lager (24 oz.)",4.5,15,"Other"
"Black Star Double Hopped Golden Lager (12 oz.)",4.5,15,"Other"
"Dos Pistolas",4.8,20,"Lager"
"Widespread Wit",5.5,10,"Lager"
"Big Cock IPA",7,70,"IPA"
"Oktoberfest",5.9,25,"Lager"
"Redband Stout",6,36,"Other"
"Captain's Daughter",8.5,69,"DIPA"
"Hazy Day Belgian-Style Wit",4,20,"Lager"
"Leaning Chimney Smoked Porter",6,34,"Other"
"Grand Trunk Bohemian Pils",5,35,"Lager"
"Norm's Gateway IPA",4,55,"IPA"
"Little Red Cap",6.3,43,"Lager"
"Supergoose IPA",6.9,67,"IPA"
"Pursuit",7,40,"IPA"
"Hangar 24 Helles Lager",4.3,14,"Lager"
"The Great Return",7.5,70,"IPA"
"The Long Thaw White IPA",6.2,45,"IPA"
"Harpoon Summer Beer",5,28,"Lager"
"Harpoon IPA",5.9,42,"IPA"
"Harpoon Octoberfest",5.5,30,"Lager"
"Harpoon IPA (2012)",5.9,42,"IPA"
"Harpoon Summer Beer (2012)",5,28,"Lager"
"Harpoon Summer Beer (2010)",5,28,"Lager"
"Harpoon IPA (2010)",5.9,42,"IPA"
"Groupe G",7.6,65,"IPA"
"Pt. Bonita Rustic Lager",6.2,40,"Other"
"Hill 88 Double IPA",8.8,77,"DIPA"
"Loose Cannon",7.2,45,"IPA"
"AARGHtoberfest!",6,30,"Lager"
"Habitus IPA",8,86,"IPA"
"Ex Umbris Rye Imperial Stout",9.9,85,"Other"
"The Golden One",6.3,21,"Lager"
"Hilliard's Pils",5.5,34,"Lager"
"Hop Farm IPA",5.8,45,"IPA"
"Proxima IPA",6.3,70,"IPA"
"541 American Lager",4.8,13,"Other"
"Alphadelic IPA",6.5,90,"IPA"
"Alphadelic IPA (2011)",6.5,90,"IPA"
"Alteration",5.1,40,"Lager"
"Survival Stout",5.8,35,"Other"
"Hopworks IPA",6.6,75,"IPA"
"Pigwar White India Pale Ale",6,60,"IPA"
"HUB Lager",5.1,32,"Lager"
"Hopworks IPA (2012)",6.6,75,"IPA"
"Laka Laka Pineapple",5.1,17,"Lager"
"Let It Ride IPA",6.8,90,"IPA"
"White Rabbit",5.9,27,"Lager"
"Infamous IPA",7,75,"IPA"
"I-10 IPA",6.8,55,"IPA"
"Leisure Time",4.8,15,"Other"
"Excess IPL",7.2,80,"IPA"
"Hoponius Union",6.7,65,"IPA"
"Calyptra",4.9,45,"IPA"
"Weize Guy",5,15,"Lager"
"Hop Box Imperial IPA",9.3,90,"DIPA"
"Joseph James American Lager",5.2,15,"Lager"
"Lewbricator Wheat Dopplebock",7.5,24,"Lager"
"Weisse Versa (2012)",5.2,16,"Lager"
"Mother in Lager",5.8,25,"Lager"
"Karbachtoberfest",5.5,25,"Lager"
"Love Street Summer Seasonal (2014)",4.7,20,"Lager"
"Rodeo Clown Double IPA",9.5,85,"DIPA"
"Sympathy for the Lager",4.9,45,"Lager"
"Weisse Versa",5.2,15,"Lager"
"Hopadillo India Pale Ale",6.6,70,"IPA"
"KelSo Nut Brown Lager",5.7,19,"Lager"
"KelSo India Pale Ale",6,64,"IPA"
"KelSo Pilsner",5.5,23,"Lager"
"Double Haul IPA (2009)",6.5,65,"IPA"
"Double Haul IPA (2006)",6.5,65,"IPA"
"Double Haul IPA",6.5,65,"IPA"
"King Street IPA",6,70,"IPA"
"King Street Hefeweizen",5.7,10,"Lager"
"India Pale Ale",6.3,65,"IPA"
"Longboard Island Lager",4.6,18,"Lager"
"Longboard Island Lager",4.6,18,"Lager"
"Longboard Island Lager",4.6,18,"Lager"
"Longboard Island Lager",4.6,18,"Lager"
"A Slice of Hefen",5.4,15,"Lager"
"Elevated IPA",7.2,100,"IPA"
"Rumspringa Golden Bock",6.6,30,"Lager"
"Lancaster German Style KÃÂ¶lsch",4.8,28,"Lager"
"Two-One Niner",4.8,9,"Lager"
"Laughing Dog IPA",6.4,66,"IPA"
"Madra Allta",6.4,95,"IPA"
"Duluchan India Pale Ale",5.6,70,"IPA"
"Getaway",5.2,30,"Lager"
"Adam's Stout",5.8,40,"Other"
"Irregardless IPA",6.5,75,"IPA"
"Shotgun Betty",5.8,11,"Lager"
"Long Trail IPA",5.9,42,"IPA"
"Double Bag",7.2,33,"Lager"
"Long Trail Ale (1)",4.6,30,"Lager"
"Vermont Pilsner",4.8,20,"Lager"
"Face Plant IPA",6.2,65,"IPA"
"Rhino Chasers Pilsner",5.6,55,"Lager"
"Slow Hand Stout",5.2,29,"Other"
"Lumberyard Pilsner",5.3,20,"Lager"
"LIFT",4.7,11,"Lager"
"Psychopathy",6.9,70,"IPA"
"Elder Betty",5.5,13,"Lager"
"Dreamin' Double IPA",8.5,85,"DIPA"
"Chaotic Double IPA",9.9,93,"DIPA"
"Manzanita IPA",8,88,"IPA"
"Pretzel Stout",6.5,47,"Other"
"Our Legacy IPA",6.5,60,"IPA"
"Our Legacy IPA",6.5,60,"IPA"
"La Perouse White",5,12,"Lager"
"Flyin' HI.P.Hay",6.8,68,"IPA"
"Bikini Blonde Lager",4.5,18,"Lager"
"CoCoNut Porter",5.7,30,"Other"
"Big Swell IPA",6.2,65,"IPA"
"Pit Stop Chocolate Porter",3.7,34,"Other"
"Pace Setter Belgian Style Wit",3.7,21,"Lager"
"Tsunami IPA",7.2,75,"IPA"
"Tsunami IPA",7.2,75,"IPA"
"Hawaiian Crow Porter",5.2,27,"Other"
"Miami Vice IPA",7.1,62,"IPA"
"Pleasure Town",6.3,61,"IPA"
"Pleasure Town IPA",6.3,61,"IPA"
"Snowshoe White Ale",4.8,12,"Lager"
"Sockeye Red IPA",5.7,70,"IPA"
"Habitus (2014)",8,100,"DIPA"
"Solis",7.5,85,"IPA"
"Habitus",8,100,"DIPA"
"Claritas",5.8,28,"Lager"
"Hop Freak",8.7,80,"DIPA"
"Hop Happy",7.5,51,"IPA"
"Flaming Damsel Lager (2010)",4.8,18,"Lager"
"Mission IPA",6.8,66,"IPA"
"Shipwrecked Double IPA",9.2,75,"DIPA"
"City of the Sun",7.5,85,"IPA"
"Booming Rollers",6.8,75,"IPA"
"Black House",5.8,40,"Other"
"When Helles Freezes Over",5.6,18,"Lager"
"Morgan Street Oktoberfest",4.9,24,"Lager"
"Black Bear Dark Lager",4.6,24,"Lager"
"Golden Pilsner",5,35,"Lager"
"Lil' Helper",7,70,"IPA"
"Gansett Light",3.7,10,"Lager"
"Bohemian Pils",5.2,30,"Lager"
"Autocrat Coffee Milk Stout",5.3,30,"Other"
"Narragansett Bohemian Pilsner",8.6,35,"Lager"
"Narragansett Porter",7,22,"Other"
"Narragansett Bock",6.5,32,"Lager"
"Narragansett Fest Lager",5.5,15,"Lager"
"Old Grogham Imperial India Pale Ale",8.5,86,"DIPA"
"Old Grogham Imperial India Pale Ale (2012)",8.5,86,"DIPA"
"Nebraska India Pale Ale",6.5,65,"IPA"
"EOS Hefeweizen",4.8,10,"Lager"
"Slow Ride",4.5,40,"IPA"
"Ranger IPA",6.5,70,"IPA"
"Shift",5,29,"Other"
"1554 Black Lager",5.6,21,"Lager"
"Shift (1)",5,29,"Other"
"Shift",5,29,"Other"
"Ranger IPA",6.5,70,"IPA"
"Ranger IPA (Current)",6.5,70,"IPA"
"Gandhi-Bot Double IPA (12 oz.)",8.8,85,"DIPA"
"Gandhi-Bot Double IPA (16 oz.) (2010)",8.8,85,"DIPA"
"Skylight",5.6,20,"Lager"
"Hop Drop 'N Roll IPA",7.2,80,"IPA"
"Get Together",4.5,50,"IPA"
"Maggie's Leap",4.9,26,"Other"
"Stronghold",6,25,"Other"
"5 Day IPA",6.1,66,"IPA"
"Watershed IPA",6.7,70,"IPA"
"Overcast Espresso Stout",5.8,27,"Other"
"Watershed IPA (2013)",6.7,70,"IPA"
"Lake Monster",8.2,25,"Other"
"Psycho Penguin Vanilla Porter",5.4,36,"Other"
"Winter Games Select #32 Stout",5.7,26,"Other"
"Pinner Throwback IPA",4.9,35,"IPA"
"Mama's Little Yella Pils",5.3,35,"Lager"
"Gordon Imperial Red (2010)",8.7,85,"DIPA"
"G'KNIGHT (16 oz.)",8.7,85,"DIPA"
"One Hit Wonder",9,60,"DIPA"
"G'KNIGHT (12 oz.)",8.7,85,"DIPA"
"Ten Fidy Imperial Stout",9.9,98,"Other"
"Mama's Little Yella Pils",5.3,35,"Lager"
"GUBNA Imperial IPA",9.9,100,"DIPA"
"Gordon Ale (2009)",8.7,85,"DIPA"
"Gordon (2005)",9.2,85,"DIPA"
"Ten Fidy Imperial Stout (2008)",9.5,98,"Other"
"Ten Fidy Imperial Stout (2007)",9.9,98,"Other"
"Gordon Beer (2006)",8.7,60,"DIPA"
"G'KNIGHT",8.7,85,"DIPA"
"Ten Fidy",9.9,98,"Other"
"Deviant Dale's IPA",8,85,"DIPA"
"Fresh Slice White IPA",5.5,45,"IPA"
"Old Town Ale",4.5,22,"Lager"
"Cache La Porter",5,24,"Other"
"Outlaw IPA",6.2,65,"IPA"
"Lobo Lito",4,12,"Lager"
"Robert Earl Keen Honey Pils",5,17,"Lager"
"Mound Builder IPA",6.5,77,"IPA"
"Amazon Princess IPA",6.2,62,"IPA"
"98 Problems (Cuz A Hop Ain't One)",6.5,65,"IPA"
"Grapefruit IPA",5,35,"IPA"
"Sparkle",4.1,12,"Other"
"Horny Monk",6.9,20,"Lager"
"Mind's Eye PA",6.7,74,"IPA"
"Camelback",6.1,60,"IPA"
"Elephant Rock IPA",7,75,"IPA"
"Old Tom Porter",5.5,25,"Other"
"Missouri Mule India Pale Ale",7,70,"IPA"
"GreyBeardÃ¢âÂ¢ IPA",6.9,51,"IPA"
"Hideout Helles",6.9,17,"Lager"
"Dead Eye Dunkel",6,15,"Lager"
"Peacemaker Pilsner",5.8,21,"Lager"
"Pallavicini Pilsner (2009)",5.8,21,"Lager"
"Pyramid Hefeweizen (2011)",5.2,18,"Lager"
"Haywire Hefeweizen (2010)",5.2,18,"Lager"
"Smoking Mirror",5.5,30,"Other"
"White (2015)",4.6,25,"Lager"
"Hans' Pils (2015)",5.3,52,"Lager"
"Gangway IPA",6.2,55,"IPA"
"Pump House IPA",5.5,45,"IPA"
"Vanilla Porter",4.7,25,"Other"
"Long Hammer IPA",6.5,44,"IPA"
"Long Hammer IPA",6.5,44,"IPA"
"Blood Orange Wit",5,16,"Lager"
"Hammer & Sickle",9,60,"Other"
"Redacted Rye IPA",7,100,"IPA"
"Elevation Triple India Pale Ale",9.9,100,"DIPA"
"Ryeteous Rye IPA (2012)",7,100,"IPA"
"Oktoberfest Revolution",5.7,25,"Lager"
"Eugene Porter",6.8,28,"Other"
"Anti-Hero IPA",6.5,70,"IPA"
"Bottom Up Belgian Wit",5,14,"Lager"
"Panther",5.8,35,"Other"
"Franz",5.2,21,"Lager"
"Truth",7.2,75,"IPA"
"Lil SIPA",5,55,"IPA"
"Jah Mon",5,100,"IPA"
"RoughTail IPA",7,80,"IPA"
"Dog Days Summer Ale",4.5,28,"Lager"
"Ruhstaller's Gilt Edge Lager Beer",4.8,42,"Lager"
"Saint Archer White Ale",5,15,"Lager"
"Saint Archer IPA",6.8,66,"IPA"
"Saint Archer Blonde",4.8,22,"Lager"
"Sex Panther",6.9,20,"Other"
"Count Hopula (Vault Series)",9.1,99,"DIPA"
"SanTan HefeWeizen",5,15,"Lager"
"Hop Shock IPA",7,85,"IPA"
"Sex Panther (2014)",6.9,20,"Other"
"Hop Shock IPA (2010)",7,85,"IPA"
"SanTan HefeWeizen (2010)",5,15,"Lager"
"Giant DIPA",8.9,88,"DIPA"
"Schlafly IPA",4.5,30,"IPA"
"Schlafly Hefeweizen",4.1,16,"Lager"
"Schlafly Summer Lager",4.5,17,"Lager"
"Blur India Pale Ale",7.4,60,"IPA"
"Frankenlou's IPA",7,105,"IPA"
"Becky's Black Cat Porter",7,55,"Other"
"Golden Ratio IPA",7,68,"IPA"
"Monkey Fist IPA",6.9,65,"IPA"
"Torpedo",7.2,65,"IPA"
"Summerfest",5,28,"Lager"
"Torpedo",7.2,65,"IPA"
"4Beans",10,52,"Other"
"Bengali",6.5,62,"IPA"
"Hi-Res",9.9,111,"DIPA"
"Autumnation (2013)",6.7,74,"IPA"
"The Crisp",5.4,42,"Lager"
"Bengali Tiger",6.4,62,"IPA"
"3Beans",9.9,85,"Other"
"Resin",9.1,103,"DIPA"
"Diesel",6.3,69,"Other"
"The Crisp (2011)",5.4,42,"Lager"
"Bengali Tiger (2011)",6.4,62,"IPA"
"Modus Hoperandi",6.8,65,"IPA"
"Estival Cream Stout",5.8,15,"Other"
"Mexican Logger",4.2,18,"Other"
"Modus Hoperandi",6.8,65,"IPA"
"Initial Point India Pale Ale",7.1,92,"IPA"
"Homefront IPA",6,70,"IPA"
"Helles Golden Lager",4.9,18,"Lager"
"Odyssey Imperial IPA",8.4,90,"DIPA"
"Oktoberfest Lager",5.8,25,"Lager"
"113 IPA",7,113,"IPA"
"Dunkel Lager",5.3,21,"Lager"
"Royal Weisse Ale",5.6,11,"Lager"
"Pikeland Pils",4.9,44,"Lager"
"Rule G IPA",7,88,"IPA"
"Zonker Stout",5.4,36,"Other"
"Snake River Lager",5,18,"Lager"
"PakoÃ¢â¬â¢s EyePA",6.8,60,"IPA"
"Dagger Falls IPA",6.3,100,"IPA"
"Dagger Falls IPA",6.3,100,"IPA"
"Dagger Falls IPA",6.3,100,"IPA"
"LuckenBock",7,18,"Lager"
"Texas Pale Ale (TPA)",5.5,40,"IPA"
"Kol' Beer",5,22,"Lager"
"Na ZdravÃÂ­ Pilsner",4.8,32,"Lager"
"Nice Rack IPA",5.5,65,"IPA"
"2014 IPA Cicada Series",7.5,72,"IPA"
"Sinister Minister Black IPA",7.7,65,"IPA"
"Hipster Breakfast",5.8,40,"Other"
"Red Cockaded Ale",8.5,110,"DIPA"
"Valkyrie Double IPA",9.2,100,"DIPA"
"Red Cockaded Ale (2013)",8.5,110,"DIPA"
"PRO-AM (2012) (2012)",9.9,100,"DIPA"
"Buried Hatchet Stout",8.3,50,"Other"
"Baby Daddy Session IPA",4.7,35,"IPA"
"Special Amber",5,22,"Lager"
"Special Amber",5,22,"Lager"
"Starr Pils",4.2,20,"Lager"
"Northern Lights India Pale Ale",6.5,52,"IPA"
"Festie",4.8,12,"Lager"
"Northern Lights India Pale Ale",6.5,52,"IPA"
"Colorado KÃÂ¶lsch",4.9,17,"Lager"
"Steam Engine Lager",5.7,25,"Lager"
"Third Eye Pale Ale",6.5,65,"IPA"
"Point Special (Current)",4.7,9,"Lager"
"Point Special",4.7,9,"Lager"
"Point Special",4.7,9,"Lager"
"Beyond The Pale IPA",6.3,64,"IPA"
"Point Special (2013)",4.7,9,"Lager"
"Point Special (2012)",4.7,9,"Lager"
"Point Special Lager",4.7,9,"Lager"
"Point Oktoberfest",5.7,15,"Lager"
"Three Kings Ale",4.9,13,"Lager"
"Point Oktoberfest",5.7,15,"Lager"
"Point Amber Classic",4.7,14,"Lager"
"Point Special Lager",4.7,9,"Lager"
"Sand Island Lighthouse",5.1,25,"Lager"
